what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1535623214499
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1535623234567
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1535633807689
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1535633840634
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1535633843737
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1535633844002
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1535633850019
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1535633852503
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1535633884987
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1535633889091
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1535633893507
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1535633895326
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1535633896028
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1535633900108
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1535633948263
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1535633970313
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1535633975812
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1535633993464
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1535633993667
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1535633998821
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1535634001038
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1535634021912
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1535634085306
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1535634096754
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1535634096910
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1535634106340
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1535634106481
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1535634109035
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1535634117693
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1535634119457
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1535634144125
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1535634182143
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1535634263379
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1535634276798
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1535634311262
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1535634313286
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1535634320600
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1535634326933
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1535634328768
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1535634353172
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1535634358511
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1535634362170
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1535634366083
