what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1528180274153
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1528180285124
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1528180285918
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1528180285973
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1528180286071
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1528180286425
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1528180296748
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1528180320744
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1528180327083
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1528180327204
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1528180329385
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1528180334690
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1528180334811
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1528180334870
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1528180340271
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1528180351230
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1528180351338
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1528180353213
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1528180354641
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1528180359125
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1528180369723
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1528180370151
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1528180370290
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1528180400482
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1528180400717
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1528180406067
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1528180406286
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1528180419253
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1528180423889
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1528180431048
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1528180432226
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1528180433456
