what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1534493757797
started,bundle,org.eclipse.wst.xsd.core,1.1.501.v201004110600,"org.eclipse.wst.xsd.core",1534493757799
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1534493757800
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1534493757801
os,sysinfo,,,"win32",1534493757805
arch,sysinfo,,,"x86_64",1534493757805
ws,sysinfo,,,"win32",1534493757805
locale,sysinfo,,,"en_US",1534493757805
processors,sysinfo,,,"4",1534493757805
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1534493757805
java.runtime.version,sysinfo,,,"1.8.0_161-b12",1534493757805
java.specification.name,sysinfo,,,"Java Platform API Specification",1534493757805
java.specification.vendor,sysinfo,,,"Oracle Corporation",1534493757805
java.specification.version,sysinfo,,,"1.8",1534493757805
java.vendor,sysinfo,,,"Oracle Corporation",1534493757805
java.version,sysinfo,,,"1.8.0_161",1534493757805
java.vm.info,sysinfo,,,"mixed mode",1534493757805
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1534493757805
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1534493757805
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1534493757805
java.vm.specification.version,sysinfo,,,"1.8",1534493757805
java.vm.vendor,sysinfo,,,"Oracle Corporation",1534493757805
java.vm.version,sysinfo,,,"25.161-b12",1534493757805
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1534493757843
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1534493757884
started,bundle,org.eclipse.wst.css.core,1.1.400.v201005261534,"org.eclipse.wst.css.core",1534493759239
started,bundle,org.eclipse.wst.wsi,1.0.400.v201004220210,"org.eclipse.wst.wsi",1534493760650
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1534493760662
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1534493760664
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1534493839800
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1534493839817
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1534493839823
started,bundle,org.eclipse.jst.servlet.ui,1.1.400.v201005272100,"org.eclipse.jst.servlet.ui",1534493839839
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1534493847894
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1534493850328
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1534493877626
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1534493877910
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1534493878060
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1534493880663
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1534493892737
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1534493894409
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1534493895172
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1534493895188
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1534493895204
started,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1534493895204
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.format",1534493899617
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1534493923050
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.0.v201004262257,"org.eclipse.jst.ws.jaxws.ui",1534493923066
